EnsemblID,log2FoldChange,padj,Gene.name
ENSG00000146233.3,-1.0668606644,5.50410966311679E-006,CYP39A1
ENSG00000162337.7,-0.6845735891,5.52216876428791E-006,LRP5
ENSG00000172992.7,-0.6047588968,0.000005814,DCAKD
ENSG00000152503.5,1.5354582787,5.9830673491017E-006,TRIM36
ENSG00000145675.10,-0.8372544463,6.15673687774948E-006,PIK3R1
ENSG00000187957.7,1.4869690208,6.22550960164104E-006,DNER
ENSG00000119138.3,0.7631645677,6.24922510486756E-006,KLF9
ENSG00000151693.5,0.6869830782,6.47438103029003E-006,ASAP2
ENSG00000164694.12,0.7681859891,6.58562299645492E-006,FNDC1
ENSG00000112984.7,1.4190591259,6.60191351459425E-006,KIF20A
ENSG00000198373.8,-0.765685629,6.61213039562541E-006,WWP2
ENSG00000134970.13,0.5333762545,6.6403369095914E-006,TMED7
ENSG00000056558.6,-0.8121386738,7.00842385333291E-006,TRAF1
ENSG00000118263.10,0.741865533,7.42963182793674E-006,KLF7
ENSG00000112306.7,0.5495533205,7.51489116474772E-006,RPS12
ENSG00000108179.9,-0.6533591488,7.67215667016887E-006,PPIF
ENSG00000131711.10,1.1180380471,7.68484433579062E-006,MAP1B
ENSG00000099219.9,-0.7851699676,7.69779849178256E-006,ERMP1
ENSG00000227525.3,0.7623615474,7.74988336578014E-006,RP11-282K24.1
ENSG00000127990.11,-0.7265219791,7.74988336578014E-006,SGCE
ENSG00000196850.4,0.5875300028,7.7914508945204E-006,PPTC7
ENSG00000038210.9,0.7550489576,7.80957297795775E-006,PI4K2B
ENSG00000102024.11,0.6043141737,7.80957297795775E-006,PLS3
ENSG00000124831.14,0.5900488713,8.14980492402348E-006,LRRFIP1
ENSG00000101074.3,1.5170781212,8.24286562608938E-006,R3HDML
ENSG00000092445.7,0.9343764029,8.24286562608938E-006,TYRO3
ENSG00000132680.6,-0.7238289837,0.000008252,KIAA0907
ENSG00000167994.7,-0.8841764348,8.27374104994921E-006,RAB3IL1
ENSG00000185739.9,-1.4322169946,8.35663791688901E-006,SRL
ENSG00000183160.8,1.1316959973,8.35663791688901E-006,TMEM119
ENSG00000067141.12,-0.6194655059,8.35663791688901E-006,NEO1
ENSG00000181467.2,0.6892091606,8.69905778347286E-006,RAP2B
ENSG00000124107.5,-0.8697584329,9.35429735454727E-006,SLPI
ENSG00000105810.5,0.7634999695,9.55318765032738E-006,CDK6
ENSG00000197415.7,1.4153453615,9.6648072628909E-006,VEPH1
ENSG00000135363.7,1.0500365574,9.67284687540727E-006,LMO2
ENSG00000233251.3,-0.9404965049,9.72459644798215E-006,AC007743.1
ENSG00000132429.5,1.277101228,9.73043501917697E-006,POPDC3
ENSG00000164023.10,0.660282644,9.75819936633084E-006,SGMS2
ENSG00000134531.5,0.6408802205,1.0032229337432E-005,EMP1
ENSG00000108175.12,-0.5563466476,1.01054151058134E-005,ZMIZ1
ENSG00000112699.6,-0.5481022423,0.000010195,GMDS
ENSG00000079102.12,-0.7890389028,1.04677107624636E-005,RUNX1T1
ENSG00000073711.6,0.5533865969,1.0595746593832E-005,PPP2R3A
